               hash               | count  | len  
 5a9fe7fc28298d25f24267fb29e8d8ee |    742 |   21
 601d2eb79aa4323253d5a2a6e171e2dd |   2003 |   21
 639ae1803fe81b18a78ecea256a8fe16 |   1385 |   21
 68e8ce5cfb9de338a85bd51a560cfba8 |    674 |   21
 6916c3cc723bfb62f1563160c580f508 |    701 |   21
 70aadf2793dfa0932c8d994c5bd0434b |    557 |   21
 72ee0ccc01cb2da88a2e75877fbb378a |    951 |   21
 737dda16c0adcfdf2ef08c6a30c8adac |   1014 |   21
 7728d268667c8d46d7e853e9379d7395 |    633 |   21
 7a02194ba7653ed725df413192125b70 |   2337 |   21
 7f291bebdd1ab82c70c89aa6848d6a0b |    870 |   21
 80a3669bb06a3eec46ecaa7b1e022f0a |   6611 |   21
 82063eeb0b9526781450fdaab1a276c9 |    749 |   21
 8a7157c0a20cbc385c3122afd83a149c |    885 |   21
 8f2c6678827bf08f56e211d59064c87f |    569 |   21
 92b8ba9a3d85f7bc40a3c0fb468c45ee |    962 |   21
 99a60936fc2722b1143dfc28988f5b0a |   1475 |   21
 99d2a9cb8bd1c3c035cdbbaf5392d610 |    538 |   21
 99db862e9957cae10a2ba9cad3d74920 |   2304 |   21
 a883e1e200c2e717e9753e62f0bdb20d |   2197 |   21
 aca764e906f072ff5f64f3f7444c8ab2 |   2635 |   21
 b100c97fe4af94bb9c7ce12562228ddc |   1293 |   21
 b48546478a18d4ef4459582e6a61715c |    753 |   21
 c7b1a2208f33874a57b21810eb147510 |    509 |   21
 cfc6d2cff6164d4414c2de128ab7e73c |    972 |   21
 d123404a46bb64be20554d041a00496c |   2379 |   21
 d30175958b1f307f8515a85400f09c6f |    556 |   21
 dae5f7725485becfeb748d24c208a32c |   1060 |   21
 e27e46d46096f2dbc2c94d1c104cf5a8 |    751 |   21
 e86e97cacffbec23dd52e8cf981e2392 |   2322 |   21
 eda7b176e81a87264b96a779df3210f5 |   1048 |   21
 f28753f073886a48a8d4411f26be20a3 |   1485 |   21
 fb43130c4ebe0628c0c2827d2d1cb581 |    977 |   21
 03d077483cf251a9257b5dd4318a3f66 |    695 |   20
 049d9e95a034c8b25a9b2dc538aed88c |    629 |   20
 093304ad8f3ebcf2e5932790a2076ccf |    588 |   20
 09d37f6449dd2c2ac8c7f81ba5d1cc16 |   2068 |   20
 0cec7a625b95efbc5875d942ba77b40e |    506 |   20
 165baa46213cabf1ade1fff60bb6cd0d |    534 |   20
 17b66596a63061d9a636f8f821e1961d |    734 |   20
 1817fc8fec61eca7f45cb1c8a05bc1a4 |    860 |   20
 2e96bf41f657e9c858b34de0c41bcbc0 |    613 |   20
 319e91b87a455231b6584dd2e5b1e2ae |    751 |   20
 380b0dd3bdb679feddfefae9e955f992 |   1039 |   20
 3d58b0aa5208871e725bf67dc37fe9bb |    548 |   20
 401b03afa70199ed0e2f846bd6a8f308 |   1238 |   20
 413846a96e129ffa6a29c572cecc84c7 |   2230 |   20
 45b658c7bae8cee039ba6260cbda5d7d |   1981 |   20
 461f5e85783b3daf3df579f3ec5d8139 |   2014 |   20
 481d29db00b1ece4b624059a283a43e6 |    914 |   20
 489d3b5b6b5d2ceea8976ce32ab9f610 |    642 |   20
 4cb9584cb4d6be8e15cf5703c3b902ed |    518 |   20
 4e5c59fca85402796a2976e2be450318 |    522 |   20
 5062800e8fc7b9262d3050319ac5b97e |    573 |   20
 53f31a01111388bbc511c6e363a345a8 |    614 |   20
 598e70f0f2829b166467287ec7ad0add |   2304 |   20
 5c93e1236fcb561e849448b80d66ac7e |    943 |   20
 5ceacb1886c3c4e2973cf113c89b3c07 |    744 |   20
 625c400418f31bd54787e4abde948f79 |   1334 |   20
 639326f9a7b5cc3ea02f91211900789f |   1032 |   20
 6700cbf12a8982f67784e00e52b9e9ef |    946 |   20
 68a3470de285feda9e1840826c250cdc |    786 |   20
 69de4cfb19704e23a6c36b073306ed16 |    530 |   20
 6f6339ac5d19f716ecbc6bcc4b4ab177 |    707 |   20
 6feaff9e2df9a285ebb1ae33290bb21f |   1074 |   20
 793dbf6efd8949fd4b59c224ab9aee36 |    846 |   20
 7db02b9fe68360477ead568e4b1542ed |   1127 |   20
 82de515c0b7ce1562c721563dff7fd14 |   6503 |   20
 8300ca9917e1d7e99dfe9b773df20382 |    658 |   20
 85cc17e2017852343714ac1fc427cc7d |    847 |   20
 87b27c8a51a71ef037168f5c5ffd660d |    537 |   20
 8d118b231fc7f5e021ccbb1258797290 |    748 |   20
 8ea6ecd2147a2498fe050c555dc87a2c |   1136 |   20
 968f62726ee480c047de3acdd94d13a5 |    810 |   20
 9859c9853061dffc3a695be4dd4e3961 |   1271 |   20
 9b9328bbe28ddcf53ac1410631518722 |    675 |   20
 9e209ddfd6b06831f10617f1318f9011 |    502 |   20
 9eb332a68bb28854d9cde404403ca42e |   2930 |   20
 a070f7c3d7f102d22284d6834be405b5 |    730 |   20
 acb0eedb84c6c6d06b056cc8052924d0 |    544 |   20
 ae9c41a19473480fdb4a69ced41bd962 |   5860 |   20
 b2352fdf8beb6dd15397a09fe4914b0e |    751 |   20
 b5c4b13649cb7e7d05a54e0c602f11b3 |    504 |   20
 b619b6f5a28a0c76e2fb2e71caf6890d |    879 |   20
 be6aff7e5c5411df2b208ff9f7908e14 |    737 |   20
 c37c21826a364961e867de7bf706f710 |    612 |   20
 c5579d1a0850eb33ef17d0de042f4198 |    530 |   20
 c64ba18b89dffabc899ecad0ab3c3591 |    798 |   20
 cdd9f9664abd0f24267d037738b1fe46 |   3518 |   20
 d5d9476191a9a3c64c1e22837550b44e |   1687 |   20
 d920b629ffd60db585861342e7f449a0 |    507 |   20
 da40cfa97658df3fea3a7411163907b4 |   1986 |   20
 da43e5ca964fafc1d4ae04eeb6ee3786 |    755 |   20
 db8685b51b033f56d229bf5590dec83e |    697 |   20
 dbeb0218bcb371188b52aee415492e28 |    512 |   20
 de057aad959f604edf7e0fa272f21631 |    874 |   20
 dea70c762f24eaf4a6fd034130bae945 |   2015 |   20
 e4b66870efc9cc84448b33135fd5c5ef |    888 |   20
 e50b6cac1179b01e21311e58d1ae7ffb |   1962 |   20
 ea168f0479848b5bd36eba292db1d0e4 |    932 |   20
 ed883a2b432847cca7cafefae32afd52 |    838 |   20
 f253156f6cbca867f0666ee077b7fc50 |    518 |   20
 f4dcc3444ff4dd66e6f30d35e94b64b5 |    923 |   20
 f62daa7c4032bf336f0cdd46db89a1a8 |    808 |   20
 03352562974575b34b8bd299ea1498cd |   1874 |   19
 043e915319a102b12dfd7821268df62b |   1335 |   19
 04f4eb40d7467f8e0042105b7091c745 |    716 |   19
 0d0d0174b7f780dc34f4553d819826c4 |    920 |   19
 112624c06d40c3e7928ec2750db543d2 |   1659 |   19
 11cecbde9e4364cfd8d27d47e181c832 |    854 |   19
 12c1788be4491375d888f0332450793b |    657 |   19
 15d37e42a053194267021f508e7374d4 |    570 |   19
 19499d8aa863c165140b8c81dbc5dd47 |    859 |   19
 1d329b39fb00a8e5f303640a55f4adab |    775 |   19
 1f215d47ec6f20c9a469f4070c9ddfb7 |   1397 |   19
 2008d9572b69e63e77e232e16b7f0dfc |   2010 |   19
 20bf7812c58953651d4131675e5e2aec |    995 |   19
 25bfe3926ef2711f7dc8f7c0d4ff3b74 |    565 |   19
